kabupaten,pilar_1,pilar_1_01_Kejadian Pungutan Liar,pilar_1_02_Jumlah Kejadian Tingkat Pembun,pilar_1_03_Transparansi Anggaran,pilar_1_04_Sistem Pemerintahan Berbasis E,pilar_1_05_Kinerja Instansi Pemerintah,pilar_1_06_Pelaksanaan reformasi birokras,pilar_1_07_Upaya Pencegahan Korupsi,pilar_1_08_Kejahatan Terhadap Hak Atas Ke,pilar_1_09_Kualitas Administrasi Pertanah,pilar_1_10_Tingkat pengelolaan lingkungan,pilar_1_11_indikator_14,pilar_2,pilar_2_01_Aksesibilitas Jalan,pilar_2_02_Kualitas Infrastruktur Jalan,pilar_2_03_Layanan Infrastruktur Stasiun ,pilar_2_04_Layanan Infrastruktur Bandara,pilar_2_05_Layanan Infrastruktur Pelabuha,pilar_2_06_Rasio Elektrifikasi,pilar_2_07_Akses Air Minum Layak,pilar_2_08_Tingkat Kehilangan Air,pilar_2_09_indikator_23,pilar_3,pilar_3_01_Pengguna Telepon Seluler,pilar_3_02_Jangkauan jaringan 4G,pilar_3_03_Pengguna Internet,pilar_3_04_indikator_27,pilar_4,pilar_4_01_Kapasitas Fiskal Daerah,pilar_4_02_Pertumbuhan Ekonomi,pilar_4_03_Tingkat Pengangguran Terbuka,pilar_4_04_Indeks Ketahanan Pangan,pilar_4_05_Nilai ICOR (Investasi),pilar_4_06_indikator_33,pilar_5,pilar_5_01_Angka Harapan Hidup,pilar_6,pilar_6_01_Rata-rata tahun sekolah,pilar_6_02_Keterampilan lulusan,pilar_6_03_Kemudahan Menemukan Pekerja Te,pilar_6_04_Angka Harapan Sekolah,pilar_6_05_Berpikir Kritis dalam Mengajar,pilar_6_06_Rasio murid-guru pendidikan da,pilar_6_07_indikator_41,pilar_7,pilar_7_01_Persaingan Sektor Jasa,pilar_7_02_indikator_43,pilar_8,pilar_8_01_Kebijakan Pasar Tenaga Kerja A,pilar_8_02_Upah Pekerja,pilar_8_03_Kesetaraan Upah Perempuan dan ,pilar_8_04_indikator_47,pilar_9,pilar_9_01_Persentase kredit swasta terha,pilar_9_02_Nilai Akad Kredit Usaha Rakyat,pilar_9_03_indikator_50,pilar_10,pilar_10_01_PDRB ADHK 2010 (Miliar Rupiah),pilar_10_02_indikator_52,pilar_11,pilar_11_01_Pertumbuhan Nomor Induk Berusa,pilar_11_02_Kinerja Pelayanan Publik,pilar_11_03_indikator_55,pilar_12,pilar_12_01_Keanekaragaman tenaga kerja,pilar_12_02_Publikasi ilmiah,pilar_12_03_Aplikasi Kekayaan intelektual ,pilar_12_04_Belanja riset,pilar_12_05_Indeks keunggulan lembaga rise,pilar_12_06_Aplikasi merek dagang,pilar_12_07_indikator_62,pilar_12_08_indikator_63,pilar_12_09_indikator_64,pilar_12_10_indikator_65,pilar_12_11_indikator_66
SUMBA BARAT,5,5,3.89,5,3.72,3,2.78,4.26,4.92,4.86,1.81,3.92,1.13,1.13,3.23,0,0,0.19,4.42,0.37,3.08,1.55,3.31,3.31,4.68,2.2,3.39,5,5,2.3,3.77,3.23,3.57,3.57,3.64,3.64,2.26,2.26,2.5,2.74,3.68,1.65,4.19,2.84,4.21,4.21,4.21,0.69,0.69,4.08,3.36,2.71,3.58,3.58,0.14,1.86,3.26,3.26,3.26,0.38,0.38,2.27,1.33,4.14,4.14,0.92,0,0.54,0,2.82,1.4,2.81,2.81,2.81,0
SUMBA TIMUR,5,5,3.89,5,3.82,3.5,2.78,4.41,4.87,4.83,2.29,4.04,0.31,0.31,2.69,0,0.25,0.67,4.84,0.11,1.79,1.33,4.32,4.32,1.75,3.45,3.17,5,5,1.87,3.93,3.31,5,3.82,3.49,3.49,2.45,2.45,2.79,3.45,3.61,2.47,4.21,3.16,2.95,2.95,2.95,1.15,1.15,3.78,3.75,2.9,1.6,1.6,0.57,1.08,3.71,3.71,3.71,0.61,0.61,2.32,1.46,4.3,4.3,2.91,3.74,2.13,0.89,2.17,2.69,2.82,2.81,2.82,0
KUPANG,5,5,3.89,3.75,3.06,3,2.78,3.9,4.95,4.47,2.02,3.68,0.22,0.22,3.49,0,0.25,2.12,4.87,0.24,2.3,1.68,4.13,4.13,3.19,2.84,3.39,4.19,4.19,2.02,3.66,3.32,4.31,3.5,3.48,3.48,2.51,2.51,2.86,3.33,3.86,2.39,4.5,3.24,2.8,2.8,2.8,1.61,1.61,3.31,3.29,2.74,0.4,0.4,0.28,0.34,3.8,3.8,3.8,4.21,4.21,3.28,3.74,3.39,3.39,2.33,2.49,0.19,0.86,2.52,1.96,2.86,2.86,2.86,0
TIMOR TENGAH SELATAN,5,5,3.89,5,4.31,3,2.78,4,4.96,4.71,2.23,3.99,0.38,0.38,2.15,0,0.25,2.12,3.92,0.33,3.76,1.61,4.15,4.15,4.33,1.93,3.47,5,5,2.21,4.19,2.98,3.48,3.57,3.59,3.59,2.25,2.25,2.07,2.5,3.76,1.32,4.36,2.71,2.94,2.94,2.94,1.04,1.04,2.16,4.16,2.45,1.15,1.15,0.45,0.8,3.8,3.8,3.8,0.67,0.67,2.82,1.75,4.32,4.32,2.29,1.63,1.37,0,0,1.6,2.69,2.69,2.69,0
TIMOR TENGAH UTARA,5,5,3.89,5,2,3,2.78,4.55,4.94,,2.36,,0.41,0.41,2.31,0,0.25,2.12,4.48,0.37,1.32,1.41,4.74,4.74,4.5,2.88,4.04,5,5,1.98,3.54,3.32,4.36,3.64,3.64,3.64,2.67,2.67,2.43,2.98,3.75,2.23,4.5,3.09,3.03,3.03,3.03,2.14,2.14,2.79,4.67,3.2,2.31,2.31,0.38,1.34,3.57,3.57,3.57,0.33,0.33,3.37,1.85,4.89,4.89,3.68,3.55,2.16,0.31,0,2.43,,0,,
BELU,5,5,3.33,5,3.17,3,2.78,4.34,4.94,4.25,2.21,3.8,0.05,0.05,3.76,0,0,0.19,4.8,0.11,5,1.74,4.35,4.35,4.93,2.83,4.04,4.24,4.24,2.26,2.48,3.59,3.7,3.25,3.48,3.48,2.48,2.48,2.64,2.62,3.42,2.31,4.41,2.98,4.46,4.46,4.46,2.28,2.28,3.83,3.53,3.22,3.54,3.54,0.64,2.09,3.58,3.58,3.58,2.66,2.66,4.9,3.78,3.65,3.65,0.4,1.13,0.11,0.06,1.45,1.13,3.13,3.13,3.13,0
ALOR,5,5,4.44,5,2.99,3,2.78,4.08,4.95,4.94,2.87,4,0.14,0.14,2.69,0,0,0.19,4.51,0.35,2.04,1.24,4.13,4.13,4.03,2.74,3.63,5,5,2.1,4.07,3.04,4.57,3.76,3.23,3.23,2.82,2.82,2.86,3.21,3.42,1.48,4.76,3.09,3.67,3.67,3.67,2.01,2.01,2.89,5,3.3,2.9,2.9,0.42,1.66,3.41,3.41,3.41,1.91,1.91,,,4.83,4.83,2.71,2.09,0.32,0.04,0,1.67,,0,,
LEMBATA,5,5,3.33,5,2.76,3,2.78,4.19,4.97,4.56,1.81,3.74,0.84,0.84,1.94,0,0,0.67,5,1.92,3.84,1.78,4.26,4.26,4.13,2.67,3.69,3.94,3.94,1.85,3.02,3.52,3.25,3.12,3.65,3.65,2.78,2.78,2.57,2.86,3.5,2.39,4.64,3.12,3.77,3.77,3.77,1.98,1.98,3.11,4.51,3.2,1.53,1.53,0.3,0.91,3.16,3.16,3.16,1.86,1.86,,,4.86,4.86,0,0,0.11,0,2.31,1.21,,0,,
FLORES TIMUR,5,5,5,5,2.51,3,2.78,4.21,4.94,4.88,1.81,3.91,0.6,0.6,3.39,0,0.75,1.15,5,0.93,4.23,2.01,4.6,4.6,4.3,3.02,3.97,3.81,3.81,1.22,3.55,3.62,4.48,3.33,3.51,3.51,2.61,2.61,2.57,2.98,3.59,2.39,4.58,3.12,4.41,4.41,4.41,1.7,1.7,2.73,4.94,3.12,2.47,2.47,0.67,1.57,3.65,3.65,3.65,0.98,0.98,3.28,2.13,4.87,4.87,1.74,2.71,0.27,0.11,0,1.62,3.03,3.02,3.03,0
SIKKA,5,5,5,5,3.02,3.5,2.78,3.63,4.93,4.34,1.81,3.9,0.55,0.55,3.06,0,0.75,0.67,4.71,0.17,1.45,1.42,4.96,4.96,4.11,3,4.02,3.43,3.43,2.39,3.12,3.68,4.04,3.33,3.68,3.68,2.32,2.32,2.36,2.5,3.76,2.47,4.46,2.98,3.68,3.68,3.68,2.02,2.02,3.88,3.37,3.09,2.78,2.78,0.71,1.75,3.63,3.63,3.63,0.7,0.7,,,4.67,4.67,3.48,3.65,0.49,0.27,2.63,2.53,,0,,
