kabupaten,pilar_1,pilar_2,pilar_3,pilar_4,pilar_5,pilar_6,pilar_7,pilar_8,pilar_9,pilar_10,pilar_11,pilar_12,pilar_1_01_Kejahatan Terorganisir,pilar_1_02_Tingkat Pembunuhan (Rate),pilar_1_03_Transparansi Anggaran,pilar_1_04_Sistem Pemerintahan Berbasis E,pilar_1_05_Kinerja Instansi Pemerintah,pilar_1_06_Pelaksanaan Reformasi Birokras,pilar_1_07_Upaya Pencegahan Korupsi,pilar_1_08_Hak Atas Kepemilikan,pilar_1_09_Kualitas Administrasi Pertanah,pilar_1_10_Tingkat pengelolaan lingkungan,pilar_1_11_indikator_15,pilar_2_01_Pemenuhan Standar Pelayanan Mi,pilar_2_02_Kualitas Infrastruktur Jalan,pilar_2_03_Layanan Infrastruktur Kereta A,pilar_2_04_Layanan Infrastruktur Bandara,pilar_2_05_Layanan Infrastruktur Pelabuha,pilar_2_06_Rasio Elektrifikasi,pilar_2_07_Akses Air Minum Layak,pilar_2_08_Tingkat Kehilangan Air,pilar_2_09_indikator_24,pilar_3_01_Pengguna Telepon Seluler,pilar_3_02_Jangkauan Jaringan 4G,pilar_3_03_Pengguna Internet,pilar_3_04_indikator_28,pilar_4_01_Kapasitas Fiskal Daerah,pilar_4_02_Stabilitas Pertumbuhan Ekonomi,pilar_4_03_Indeks Ketahanan Pangan,pilar_4_04_Nilai Investasi,pilar_4_05_indikator_34,pilar_5_01_Angka Harapan Hidup,pilar_5_02_indikator_36,pilar_6_01_Rata-rata Tahun Sekolah,pilar_6_02_Keterampilan Lulusan,pilar_6_03_Kemudahan Menemukan Pekerja Te,pilar_6_04_Angka Harapan Sekolah,pilar_6_05_Berpikir Kritis dalam Mengajar,pilar_6_06_Rasio Murid-Guru Sekolah Dasar,pilar_6_07_indikator_43,pilar_7_01_Persaingan Sektor Jasa,pilar_7_02_indikator_45,pilar_8_01_Kebijakan Pasar Tenaga Kerja A,pilar_8_02_Upah Pekerja,pilar_8_03_Kesetaraan Upah Perempuan dan ,pilar_8_04_indikator_49,pilar_9_01_Kredit Swasta Terhadap PDRB Ha,pilar_9_02_Nilai Akad Kredit Usaha Rakyat,pilar_9_03_Persentase premi asuransi jiwa,pilar_9_04_indikator_53,pilar_10_01_PDRB ADHK 2010 (Miliar Rupiah),pilar_10_02_indikator_55,pilar_11_01_Pertumbuhan Nomor Induk Berusa,pilar_11_02_Kinerja Pelayanan Publik,pilar_11_03_indikator_58,pilar_12_01_Keanekaragaman Tenaga Kerja,pilar_12_02_Pengembangan Klaster,pilar_12_03_Publikasi Ilmiah,pilar_12_04_Aplikasi Kekayaan Intelektual ,pilar_12_05_Belanja Riset,pilar_12_06_Indeks Keunggulan Lembaga Rise,pilar_12_07_Aplikasi Merek Dagang,pilar_12_08_indikator_66
SUMBA BARAT,4.53,2.72,3.46,4.26,3.55,3.52,3.8,2.33,3.14,3.27,3.2,1.22,4.97,3.74,5,4.9,5,4.17,4.41,3.33,4.81,5,4.53,5,4.55,0,0,0.24,4.6,4.34,3.06,2.72,3.37,5,1.99,3.46,4.83,4.53,3.9,3.62,4.26,3.55,3.55,3.77,1.91,5,4.77,1.22,4.42,3.52,3.8,3.8,0.45,2.81,3.73,2.33,5,2.33,2.09,3.14,3.27,3.27,4.11,2.3,3.2,4.47,0,0,0,0.99,0,3.08,1.22
SUMBA TIMUR,4.52,2.58,3.93,3.94,3.41,3.83,3.66,2.6,2.64,3.72,2.43,2.74,4.96,4.36,5,4.62,5,5,4.47,2.61,4.41,4.73,4.52,5,4.08,0,0.75,0.58,5,3.52,1.75,2.58,4.88,3.4,3.51,3.93,2.77,4.76,3.95,4.05,3.94,3.41,3.41,4.12,3.19,5,4.63,1.71,4.33,3.83,3.66,3.66,0.78,2.76,4.24,2.6,4.93,2.32,0.68,2.64,3.72,3.72,2.5,2.35,2.43,4.68,1.3,2.48,3.88,3.94,0.19,2.67,2.74
KUPANG,4.16,3.22,3.74,3.81,3.39,3.86,5.0,2.23,3.44,3.81,3.69,1.66,4.99,3.96,5,3.67,5,5,3.92,4.18,0.83,5,4.16,5,4.52,0,2.5,2.07,5,4.38,2.26,3.22,4.77,3.71,2.74,3.74,2.75,4.99,3.88,3.6,3.81,3.39,3.39,4.04,2.79,5,5,1.65,4.66,3.86,5,5.0,0.8,2.65,3.23,2.23,5,1.63,3.69,3.44,3.81,3.81,4.05,3.32,3.69,4.31,0,2.09,3.18,0.35,0.21,1.5,1.66
TIMOR TENGAH SELATAN,4.69,2.72,3.8,3.55,3.49,3.42,2.64,2.09,2.14,3.81,3.05,2.02,5,4.27,5,5,5,4.17,4.52,4.43,4.5,5,4.69,5,3.21,0,0,1.97,4.2,3.67,3.74,2.72,4.51,4.9,1.98,3.8,1.87,4.81,3.8,3.3,3.55,3.49,3.49,3.8,2.49,4.26,4.54,0.92,4.54,3.42,2.64,2.64,0.99,1.84,3.43,2.09,3.53,1.64,1.25,2.14,3.81,3.81,3.23,2.86,3.05,4.54,0,1.85,2.28,2.56,0.12,2.77,2.02
TIMOR TENGAH UTARA,4.0,2.7,4.17,4.0,3.55,3.86,2.88,2.91,2.43,3.59,3.35,2.8,4.98,4.34,5,4.02,5,4.17,4.05,3.45,0,5,4.0,5,3.1,0,0.75,2.4,4.66,4.44,1.27,2.7,4.85,4.8,2.86,4.17,1.99,4.81,4.1,4.66,4.0,3.55,3.55,4.44,3.2,4.53,4.81,1.59,4.62,3.86,2.88,2.88,1.75,2.13,4.86,2.91,5,1.98,0.31,2.43,3.59,3.59,3.29,3.41,3.35,4.52,0.48,3.15,4.26,3.99,0.42,2.82,2.8
BELU,4.4,3.21,4.35,3.85,3.39,3.57,4.06,2.73,2.82,3.6,4.98,1.45,5,3.89,5,4.4,5,5,4.63,3.54,2.67,4.87,4.4,5,4.56,0,0.75,0.96,4.97,4.4,5,3.21,5,5,3.05,4.35,2.48,4.71,4.26,3.89,3.85,3.39,3.39,4.03,1.88,4.95,4.43,1.53,4.58,3.57,4.06,4.06,1.47,2.78,3.95,2.73,5,2.61,0.83,2.82,3.6,3.6,5,4.96,4.98,4.06,0.13,0.61,3.16,0.2,0.07,1.92,1.45
ALOR,4.25,2.63,3.63,4.12,3.12,3.84,3.32,2.8,2.84,3.43,,2.08,4.98,4.59,5,4.19,5,4.17,4.37,3.36,2.08,4.76,4.25,5,3.61,0,0.5,0.63,4.87,4.45,2.01,2.63,4.14,4.18,2.56,3.63,2.94,4.97,3.68,4.45,4.12,3.12,3.12,4.6,3.13,5,4.42,1.04,4.87,3.84,3.32,3.32,2.79,2.04,3.56,2.8,5,2.43,1.1,2.84,3.43,3.43,5,,,4.98,0.39,2.37,2.71,0.62,0.12,3.37,2.08
LEMBATA,4.37,2.86,4.13,3.61,3.58,3.93,3.39,3.14,2.59,3.17,,1.57,4.95,3.31,5,4.13,5,4.17,4.35,4.23,3.52,5,4.37,5,3.25,0,0.25,0.67,5,4.88,3.82,2.86,5,4.54,2.85,4.13,1.93,4.75,3.88,2.8,3.61,3.58,3.58,4.5,3.19,5,4.49,1.65,4.77,3.93,3.39,3.39,2.96,2.36,4.1,3.14,5,1.47,1.31,2.59,3.17,3.17,0.86,,,4.95,0.52,0,3.59,0.21,0,1.71,1.57
FLORES TIMUR,4.39,3.22,4.12,3.58,3.42,3.79,4.0,2.44,2.46,3.66,2.11,2.27,4.98,4.02,5,3.98,5,4.17,4.31,3.88,3.59,4.97,4.39,5,4.56,0,0.75,1.39,5,4.85,4.22,3.22,4.73,4.64,2.99,4.12,1.88,4.87,4.13,2.59,3.58,3.42,3.42,4.38,2.34,5,4.66,1.65,4.69,3.79,4,4.0,1.03,2.48,3.81,2.44,5,1.94,0.43,2.46,3.66,3.66,0.91,3.32,2.11,4.52,3.26,1.49,3.6,0.5,0.13,2.36,2.27
SIKKA,4.4,2.81,4.11,4.0,3.61,3.8,2.91,3.02,2.88,3.65,,2.71,4.96,5,5,3.73,5,4.17,3.19,3.99,3.98,5,4.4,5,4.62,0,0.75,1.06,4.88,4.77,1.41,2.81,5,4.43,2.88,4.11,2.28,4.82,4.33,4.38,4.0,3.61,3.61,3.8,3,4.81,4.92,1.65,4.63,3.8,2.91,2.91,2.35,3.03,3.68,3.02,5,2.41,1.24,2.88,3.65,3.65,1.98,,,4.63,2.65,2.94,4.08,0.91,0.51,3.27,2.71
ENDE,4.26,2.9,4.26,4.07,3.43,3.96,3.48,2.66,2.65,3.74,2.21,2.89,4.99,4.69,5,3.81,5,5,3.87,4.1,1.17,5,4.26,5,3.83,0,0.75,1.73,5,4.92,1.95,2.9,5,4.54,3.25,4.26,1.8,4.9,4.13,5,4.07,3.43,3.43,4.47,2.85,5,4.97,1.77,4.69,3.96,3.48,3.48,0.94,2.55,4.48,2.66,5,1.72,1.23,2.65,3.74,3.74,2.07,2.35,2.21,4.98,2.35,3.03,4.17,1.3,0.43,3.96,2.89
NGADA,3.98,,3.82,3.67,3.65,3.79,3.01,2.5,2.6,3.49,3.13,2.05,5,3.99,5,2.62,5,4.17,4.17,4.17,0.73,5,3.98,5,3.01,0,0.25,0.34,4.83,,2.61,,4.21,4.59,2.67,3.82,2.14,4.64,4.6,2.7,3.67,3.65,3.65,4.8,1.82,5,4.59,1.83,4.7,3.79,3.01,3.01,0.16,2.87,4.48,2.5,5,1.95,0.86,2.6,3.49,3.49,2.85,3.41,3.13,4.84,1,2.41,4.12,0.18,0.17,1.63,2.05
MANGGARAI,4.74,3.22,4.14,4.2,3.56,3.92,3.74,2.68,2.87,3.61,3.18,2.9,4.95,4.76,5,5,5,5,4.12,4.7,3.86,5,4.74,5,4.23,0,2.75,0.53,5,4.8,3.42,3.22,4.94,4.69,2.79,4.14,2.73,4.91,4.32,4.33,4.2,3.56,3.56,4.16,3.2,5,4.94,1.77,4.43,3.92,3.74,3.74,1.64,2.55,3.83,2.68,5,1.57,2.03,2.87,3.61,3.61,2.98,3.38,3.18,4.84,1.83,2.96,3.63,3.68,0.37,3.01,2.9
