kabupaten,pilar_1,pilar_2,pilar_3,pilar_4,pilar_5,pilar_6,pilar_7,pilar_8,pilar_9,pilar_10,pilar_11,pilar_12
AMANATUN SELATAN,88,84,83,94,79,61,60,84,64,76,64,81
AMANATUN UTARA,74,73,85,60,89,85,70,88,78,92,63,88
AMANUBAN BARAT,67,68,84,94,70,91,87,77,63,68,65,73
AMANUBAN SELATAN,80,85,88,73,87,65,84,77,94,88,91,87
AMANUBAN TENGAH,78,61,74,62,84,91,82,61,76,85,89,64
AMANUBAN TIMUR,82,79,60,60,92,63,90,94,87,94,94,89
BATU PUTIH,70,87,84,64,60,70,89,75,89,84,75,64
BOKING,70,66,66,85,86,76,94,95,88,83,72,71
FATUKOPA,83,67,68,73,72,83,66,92,65,72,89,75
FATUMNASI,95,94,83,86,62,64,75,63,94,66,78,85
FAUTMOLO,83,73,60,68,65,93,85,92,83,95,76,85
KI'E,62,76,67,74,67,65,61,73,88,79,78,80
KOK BAUN,81,95,83,74,86,81,60,80,90,60,87,95
KOLBANO,61,63,70,85,68,70,71,79,94,67,85,92
KOT OLIN,83,61,76,72,92,75,64,67,92,75,85,89
KOTA SOE,89,65,67,91,83,92,91,66,80,73,82,82
KUALIN,61,63,94,91,74,68,68,62,91,71,68,69
KUANFATU,80,88,94,63,91,65,94,76,82,82,71,64
KUATNANA,92,77,92,89,91,75,78,92,92,74,60,95
MOLLO BARAT,71,85,64,82,83,88,75,71,62,87,60,93
MOLLO SELATAN,81,93,87,74,71,62,62,81,77,93,93,90
MOLLO TENGAH,84,69,66,88,61,79,79,81,84,61,91,69
MOLLO UTARA,86,95,68,95,62,95,83,89,90,91,84,78
NOEBANA,87,73,67,72,76,78,92,67,62,82,60,91
NOEBEBA,75,90,71,91,61,85,83,86,83,81,75,60
NUNBENA,74,74,93,66,61,62,70,86,91,84,64,64
NUNKOLO,62,67,92,81,87,78,67,93,81,81,81,63
OENINO,66,73,82,87,82,79,95,80,82,81,88,75
POLEN,80,82,83,61,91,91,79,89,61,65,62,83
SANTIAN,68,80,94,65,92,66,94,92,86,74,71,75
TOBU,77,75,81,87,60,92,84,87,61,92,85,61
TOIANAS,63,77,86,87,78,77,94,92,85,67,75,87
